t_id;c_ticker;c_name;industry;mcap_m1;mcap_log;mcap_group;large_cap;mid_cap;small_cap;ebitda_margin;debt_ebitda;cash_assets_ratio;pb_ratio;announced_date;target_public;cash_payment_pct;deal_mcap;cross_border;car_1;car_2;car_1_beta_adjusted;car_2_beta_adjusted
IQTR1875219946;ZEHN;Zehnder Group AG (SWX:ZEHN);Industrials;693,0372068;6,541083687;mid;0;1;0;11,0646;-83,68794865;14,93807961;121,3217406;2024-03-06 00:00:00;0;100;0,738777074;1;-2,960678993;-4,930210762;-4,162366233;-6,933022829
IQTR1875348374;CEZ;CEZ, a. s. (SEP:CEZ);Utilities;20511,04189;9,928718649;large;1;0;0;37,3795;120,2356174;1,319019341;55,51008071;2024-03-20 00:00:00;0;100;4,48056225;0;-2,777182816;-4,568593459;-0,770632985;-1,224343741
IQTR1875476243;MYCR;Mycronic AB  (OM:MYCR);Information Technology;3288,847129;8,098292366;large;1;0;0;24,3252;-137,7521597;25,65947312;396,5813328;2024-03-22 00:00:00;0;100;0,854706798;1;-0,122614586;-0,216266194;-0,098150141;-0,175492118
IQTR1875545225;EPR;Europris ASA (OB:EPR);Real Estate;3154,035635;8,056438066;large;1;0;0;77,1101;550,6983821;1,36959437;55,32536852;2024-03-21 00:00:00;0;6,48;0,59606175;1;0,060322267;0,12676595;0,053210354;0,114912762
IQTR1875579648;ROAD;"Meadow Capital Management LLC; Roadside Real Estate plc (AIM:ROAD)";Industrials;2850,564885;7,955272459;large;1;0;0;10,8471;223,4857807;5,386357403;223,3722435;2024-03-22 00:00:00;0;100;0,144181949;1;-0,097325461;-0,16306815;-0,08239504;-0,138184114
IQTR1875580362;BAHN B;Bahnhof AB  (OM:BAHN B);Communication Services;433,036776;6,070822657;mid;0;1;0;16,9716;-205,0599622;55,05209145;316,4212681;2024-03-22 00:00:00;0;;0,218688124;0;-0,116570764;-0,228811719;-0,085675191;-0,177319097
IQTR1875688675;MPK;Many Peaks Minerals Limited (ASX:MPK);Materials;2,737952017;1,007210202;small;0;0;1;0;;55,97145374;123,6681956;2024-03-26 00:00:00;0;;9,788338085;1;1,377409266;1,119287284;1,444616686;1,23129965
IQTR1875688731;CPRI;Capri Holdings Limited (NYSE:CPRI);Consumer Discretionary;5371,696581;8,588899074;large;1;0;0;11,4729;571,2871287;3,269003545;70,52247054;2024-03-20 00:00:00;0;;0,181879223;1;-2,715184526;-4,545945766;-4,000217997;-6,687668218
IQTR1875708112;FNTL;Fintel Plc (AIM:FNTL);Industrials;334,8642693;5,813725284;mid;0;1;0;26,6563;-0,57805488;8,627719659;178,597306;2024-03-26 00:00:00;0;100;0,564407783;0;-0,286615309;-0,550673765;-0,102116454;-0,243175673
IQTR1875727772;REP;Repsol, S.A. (BME:REP);Energy;20251,72252;9,915995132;large;1;0;0;12,3423;28,26418548;6,699333153;29,72714839;2024-03-26 00:00:00;0;100;1,675363662;0;-0,380517897;-0,635971136;-0,067818216;-0,114805
IQTR1875777082;TORG;Torghatten Aqua AS (OTCNO:TORG);Consumer Staples;76,65671369;4,33933719;small;0;0;1;0;;;;2024-03-25 00:00:00;0;50;2,413356784;0;-0,75083437;-1,238222629;-0,027106288;-0,032009159
IQTR1875824183;HON;Honeywell International Inc. (NasdaqGS:HON);Industrials;130888,2875;11,78209947;large;1;0;0;23,8121;153,9633448;12,88094271;212,7400041;2024-03-27 00:00:00;0;100;0,170878544;1;-0,505497091;-0,876256739;-0,477899787;-0,830261234
IQTR1875861883;GO;GO p.l.c. (MTSE:GO);Consumer Staples;2782,146683;7,930978097;large;1;0;0;5,3967;597,4269803;3,872155917;93,68803205;2024-03-27 00:00:00;0;100;0,124004964;0;-0,500216996;-0,878194206;-0,213802614;-0,400836902
IQTR1875864018;DMET;Denarius Metals Corp. (NEOE:DMET);Materials;28,2883682;3,342450702;small;0;0;1;0;-367,6856938;8,528336482;31,6272578;2024-03-27 00:00:00;0;100;95,62234135;1;-0,365288009;-0,756022825;-0,208106885;-0,494054286
